PERMNO,from,thru
77768,1992-07-06,2018-10-30
10078,1992-08-20,2010-01-28
53065,1992-10-30,2023-12-29
87055,1993-10-22,2023-12-29
76076,1993-12-31,2023-12-29
80080,1994-01-04,2023-12-29
64995,1994-03-02,2023-12-29
71175,1994-03-11,2021-09-17
10107,1994-06-07,2023-12-29
92655,1994-07-01,2023-12-29
58683,1994-07-13,2023-12-29
70536,1994-09-21,2015-11-18
53613,1994-09-27,2023-12-29
76226,1994-09-30,2023-12-29
77605,1995-02-24,2023-12-29
14702,1995-03-16,2023-12-29
49656,1995-03-31,2023-12-29
26710,1995-05-10,2023-12-29
81655,1995-05-30,2023-12-29
75257,1995-07-03,2011-12-20
79323,1995-07-13,2023-12-29
81774,1995-07-31,2023-12-29
69032,1995-09-22,2023-12-29
66157,1995-10-23,2023-12-29
22517,1995-11-27,2023-12-29
77462,1995-12-01,2020-04-03
25081,1995-12-01,2023-12-29
48653,1995-12-01,2023-12-29
48267,1995-12-13,2014-05-07
82775,1995-12-20,2023-12-29
34746,1996-03-08,2023-12-29
10147,1996-03-28,2016-09-07
61735,1996-04-23,2023-12-29
11081,1996-09-06,2013-10-28
84020,1996-11-01,2010-02-26
84381,1996-12-09,2023-12-29
76605,1997-01-02,2023-12-29
62092,1997-01-02,2023-12-29
75510,1997-05-06,2023-12-29
21371,1997-05-27,2023-12-29
75186,1997-06-02,2023-12-29
52476,1997-06-19,2023-12-29
70332,1997-07-28,2019-08-08
39490,1997-07-28,2023-12-29
64390,1997-08-04,2023-12-29
42906,1997-08-06,2023-12-29
72726,1997-08-15,2023-12-29
46886,1997-09-15,2023-12-29
85348,1997-10-07,2023-12-29
71563,1997-12-04,2023-12-29
23473,1997-12-18,2023-12-29
30681,1997-12-24,2023-12-29
67467,1998-01-20,2013-02-13
58246,1998-01-30,2023-12-29
85926,1998-04-01,2023-12-15
37584,1998-04-29,2023-12-29
85913,1998-05-21,2023-12-29
86136,1998-06-30,2023-12-29
66325,1998-07-01,2014-04-30
81055,1998-07-01,2023-12-29
11955,1998-07-17,2023-12-29
77606,1998-08-14,2020-09-18
35044,1998-08-28,2023-12-29
11976,1998-10-01,2013-09-10
61621,1998-10-01,2023-12-29
76712,1998-10-02,2023-12-29
75489,1998-10-07,2017-09-15
70500,1998-10-08,2016-05-27
76149,1998-11-13,2015-01-26
49680,1998-11-18,2023-12-29
75154,1998-12-22,2023-12-29
78139,1999-01-04,2011-12-30
77418,1999-01-04,2018-06-19
81061,1999-01-13,2023-12-29
60599,1999-03-25,2023-03-17
78916,1999-04-12,2020-05-11
23229,1999-05-03,2023-12-29
57904,1999-05-28,2023-12-29
75573,1999-06-24,2010-12-17
82598,1999-06-25,2023-12-29
85914,1999-06-30,2023-12-29
15202,1999-07-01,2023-12-29
77178,1999-07-22,2023-12-29
82643,1999-08-13,2012-09-28
77659,1999-10-01,2017-07-25
27991,1999-10-04,2023-12-29
60871,1999-10-12,2023-12-29
10138,1999-10-13,2023-12-29
60943,1999-10-18,2021-12-17
77481,1999-10-26,2012-05-24
87292,1999-11-05,2010-11-16
76201,1999-11-08,2022-02-14
51369,1999-11-15,2013-12-20
54827,1999-12-01,2013-12-09
82686,1999-12-01,2022-09-30
83435,1999-12-08,2017-06-16
70033,2000-01-31,2020-06-19
10299,2000-04-03,2017-03-10
75577,2000-04-18,2015-12-28
87432,2000-06-05,2023-12-29
77702,2000-06-08,2023-12-29
12067,2000-06-19,2012-06-04
75100,2000-06-21,2021-01-06
85963,2000-07-03,2016-01-29
85032,2000-07-06,2011-03-31
88313,2000-07-13,2011-11-22
79879,2000-07-27,2013-12-20
87137,2000-08-30,2023-12-29
86176,2000-10-03,2010-12-17
29102,2000-10-18,2015-03-20
38762,2000-11-02,2023-12-29
75825,2000-11-02,2023-12-29
45241,2000-11-22,2014-06-30
52230,2000-12-05,2023-12-29
10137,2000-12-11,2011-02-25
87842,2000-12-11,2023-12-29
78975,2000-12-11,2023-12-29
73139,2000-12-12,2023-12-29
80266,2000-12-12,2011-01-14
88845,2000-12-14,2018-11-30
88853,2000-12-22,2019-06-03
79094,2001-01-30,2014-11-04
23887,2001-02-27,2017-03-17
23660,2001-03-01,2023-12-29
10696,2001-04-02,2023-12-29
86756,2001-05-14,2010-02-26
84342,2001-06-04,2011-12-16
84129,2001-06-25,2023-12-29
89014,2001-07-02,2018-11-30
53866,2001-08-06,2015-07-08
89070,2001-08-07,2023-12-29
81540,2001-08-30,2023-12-29
45277,2001-09-04,2014-06-20
86314,2001-09-04,2018-09-14
37161,2001-10-10,2016-06-30
86580,2001-11-30,2023-12-29
79547,2001-12-03,2023-12-29
10324,2001-12-14,2011-04-01
82651,2002-01-02,2023-12-29
75592,2002-01-17,2016-02-19
51706,2002-02-11,2011-07-05
36397,2002-05-06,2013-06-21
76240,2002-05-15,2010-04-29
81138,2002-05-15,2013-06-28
80100,2002-06-26,2023-12-29
86868,2002-07-22,2023-12-29
86356,2002-07-22,2023-12-29
89195,2002-07-22,2023-12-29
75828,2002-07-22,2023-12-29
87447,2002-07-22,2023-12-29
89258,2002-07-22,2023-12-29
89179,2002-07-25,2023-12-29
88668,2002-08-14,2018-06-06
86946,2002-09-04,2017-07-25
89525,2002-11-19,2023-12-29
84373,2002-12-12,2023-12-29
76282,2003-02-24,2017-08-07
80711,2003-03-14,2020-12-18
52090,2003-03-21,2023-12-29
75607,2003-03-31,2023-12-29
86102,2003-04-16,2012-12-31
80406,2003-07-17,2011-06-02
89813,2003-08-20,2012-04-03
77668,2003-09-26,2018-12-21
76841,2003-11-13,2023-12-29
35554,2004-02-27,2023-12-29
83862,2004-04-01,2020-10-06
80913,2004-04-02,2010-02-05
69550,2004-04-23,2020-11-16
85269,2004-04-29,2023-12-29
90110,2004-05-03,2015-09-02
77274,2004-07-01,2023-12-29
88661,2004-09-01,2023-12-29
12062,2004-11-01,2023-12-29
86021,2004-12-01,2019-06-28
90441,2004-12-20,2019-03-19
79212,2004-12-29,2010-06-25
84032,2005-03-14,2021-09-17
89757,2005-03-28,2012-09-04
69796,2005-07-05,2023-12-29
77661,2005-07-05,2023-12-29
77730,2005-08-11,2023-12-29
28388,2005-08-12,2023-01-04
28345,2005-08-15,2017-07-25
64653,2005-08-19,2023-12-29
76619,2005-08-30,2013-05-08
90880,2005-10-03,2023-12-29
52708,2005-10-04,2023-12-29
78034,2005-10-11,2018-03-16
84788,2005-11-21,2023-12-29
90162,2005-12-02,2015-11-17
77281,2006-01-03,2017-08-28
91063,2006-01-03,2019-12-04
82642,2006-01-05,2023-12-29
85753,2006-02-01,2023-12-29
75224,2006-02-01,2017-03-15
78877,2006-03-03,2018-03-16
77129,2006-04-03,2023-12-29
83421,2006-04-03,2013-05-23
85058,2006-04-03,2023-12-29
90319,2006-04-03,2023-12-29
91207,2006-04-10,2016-09-22
82618,2006-04-20,2016-05-12
65330,2006-04-24,2016-12-01
86979,2006-06-02,2023-12-29
86799,2006-06-28,2016-03-03
91391,2006-07-18,2015-04-06
91392,2006-08-01,2018-05-30
89626,2006-08-11,2023-12-29
91461,2006-10-02,2021-12-17
45794,2006-10-02,2010-08-26
11552,2006-11-06,2019-11-20
89003,2006-11-10,2023-12-29
90199,2006-11-10,2023-12-29
86158,2006-11-17,2023-12-29
88991,2006-11-20,2014-09-19
27756,2006-12-01,2010-06-30
89954,2006-12-04,2015-07-28
91650,2007-01-03,2017-02-27
80381,2007-01-10,2023-12-29
85072,2007-02-02,2023-12-29
27043,2007-02-12,2021-04-19
87070,2007-02-15,2015-11-02
25099,2007-02-22,2015-06-30
85459,2007-03-02,2023-12-29
46703,2007-03-20,2023-12-29
83976,2007-03-29,2013-12-20
89006,2007-04-02,2023-12-29
90038,2007-04-10,2023-12-29
81776,2007-05-31,2011-12-16
63830,2007-06-01,2016-01-29
92121,2007-07-02,2023-12-29
87299,2007-07-12,2023-12-29
20415,2007-08-27,2019-09-25
78987,2007-09-07,2023-12-29
90993,2007-09-26,2023-12-29
37284,2007-09-27,2018-09-28
92293,2007-10-01,2017-06-16
90808,2007-10-02,2023-12-29
61815,2007-10-08,2020-10-09
87717,2007-10-10,2023-12-29
91143,2007-10-25,2013-11-12
52329,2007-10-26,2023-12-29
83699,2007-10-29,2012-12-21
23501,2007-11-09,2016-03-29
86111,2007-11-19,2023-12-29
89301,2007-12-14,2016-04-22
50017,2007-12-21,2018-06-15
53225,2007-12-31,2014-09-19
76639,2008-01-02,2019-09-20
81857,2008-01-29,2016-04-01
92602,2008-03-31,2023-12-29
67598,2008-03-31,2023-12-29
88352,2008-06-02,2023-12-29
63765,2008-06-06,2017-04-03
17279,2008-06-11,2015-06-11
76082,2008-06-23,2023-12-29
26382,2008-06-23,2011-06-01
92709,2008-07-01,2018-03-06
80303,2008-07-01,2011-12-16
91233,2008-07-18,2023-12-29
82307,2008-07-31,2023-12-29
19583,2008-08-21,2023-12-29
90829,2008-08-27,2023-12-29
11618,2008-09-15,2023-12-29
90215,2008-09-15,2023-12-29
25582,2008-09-22,2023-12-29
75241,2008-09-24,2023-12-29
84769,2008-09-30,2023-12-29
30940,2008-10-02,2021-03-19
92618,2008-10-07,2018-06-29
90601,2008-10-22,2023-12-29
23536,2008-10-31,2023-12-29
42585,2008-11-06,2023-12-29
12073,2008-11-13,2022-04-01
89533,2008-11-14,2023-12-29
11600,2008-11-14,2023-12-29
76625,2008-11-17,2011-10-14
83906,2008-11-19,2018-11-30
86725,2008-11-24,2014-01-23
88590,2008-12-02,2017-04-04
86228,2008-12-05,2023-12-29
24328,2008-12-19,2018-11-12
77976,2008-12-23,2011-02-28
77157,2009-01-02,2016-12-01
23085,2009-01-02,2018-12-31
79265,2009-01-02,2021-05-13
83143,2009-01-06,2023-12-29
65947,2009-01-30,2023-12-29
82298,2009-02-26,2016-09-30
75819,2009-03-04,2023-12-29
32870,2009-03-04,2023-12-29
44206,2009-03-17,2023-12-29
79103,2009-03-27,2023-12-29
91883,2009-03-30,2016-05-17
82196,2009-04-02,2015-03-20
89004,2009-06-05,2017-01-13
76708,2009-06-09,2012-09-28
91937,2009-06-30,2013-04-30
66384,2009-07-01,2023-12-29
85792,2009-07-01,2023-12-29
87184,2009-07-27,2019-07-12
19166,2009-08-19,2023-12-29
92988,2009-09-01,2015-03-17
70308,2009-09-09,2016-05-20
91611,2009-10-16,2017-03-17
86783,2009-11-06,2023-12-29
92611,2009-12-21,2023-12-29
91547,2009-12-21,2013-09-20
91556,2009-12-21,2023-12-29
27422,2009-12-21,2014-04-01
92890,2009-12-21,2017-06-16
77338,2009-12-23,2023-12-29
90071,2010-01-29,2023-12-29
79881,2010-02-08,2017-03-17
83443,2010-02-16,2023-12-29
90805,2010-03-01,2022-04-08
32707,2010-03-01,2020-05-21
25232,2010-03-15,2023-12-29
10909,2010-04-30,2022-06-07
89508,2010-06-28,2023-12-29
93422,2010-07-01,2015-06-30
79057,2010-07-15,2023-12-29
45356,2010-08-27,2023-12-29
12431,2010-11-17,2023-12-29
68857,2010-12-20,2016-06-23
79915,2010-12-20,2019-02-14
86964,2010-12-20,2023-12-29
89393,2010-12-20,2023-12-29
12456,2011-01-04,2012-05-24
90537,2011-01-18,2015-07-17
89105,2011-02-28,2015-10-07
92156,2011-03-01,2015-01-26
87657,2011-04-01,2023-12-29
87267,2011-04-04,2023-12-29
91068,2011-04-28,2023-12-29
90547,2011-06-02,2012-10-01
85592,2011-06-03,2023-12-29
12872,2011-07-01,2023-12-29
89071,2011-07-06,2023-12-29
90386,2011-09-26,2023-12-29
92157,2011-10-17,2023-12-29
